,Datetime,Open,High,Low,Close,Volume
0,2021-09-20T09:15:00,448.2,449.8,447.15,448.6,1611055
1,2021-09-20T09:30:00,449.15,451.05,449.15,450.55,918684
2,2021-09-20T09:45:00,450.75,451.35,448.2,448.45,688139
3,2021-09-20T10:00:00,448.8,451.0,448.6,449.35,604957
4,2021-09-20T10:15:00,449.55,453.45,449.2,451.1,961146
5,2021-09-20T10:30:00,451.1,451.75,449.15,450.0,616467
6,2021-09-20T10:45:00,450.2,450.6,449.65,449.65,276049
7,2021-09-20T11:00:00,449.85,451.1,449.75,450.2,287629
8,2021-09-20T11:15:00,450.45,450.45,449.3,449.8,293858
9,2021-09-20T11:30:00,449.8,450.35,449.35,449.5,309303
10,2021-09-20T11:45:00,449.55,449.95,447.75,447.75,640981
11,2021-09-20T12:00:00,447.75,447.95,444.3,445.35,1461214
12,2021-09-20T12:15:00,445.5,446.05,444.6,445.7,432504
13,2021-09-20T12:30:00,445.9,446.1,444.7,444.85,483490
14,2021-09-20T12:45:00,444.9,445.8,444.6,444.6,363783
15,2021-09-20T13:00:00,444.75,445.85,444.0,445.2,547631
16,2021-09-20T13:15:00,445.8,445.8,444.15,444.35,353217
17,2021-09-20T13:30:00,444.5,444.9,443.5,443.6,502877
18,2021-09-20T13:45:00,443.65,444.6,442.5,442.6,578370
19,2021-09-20T14:00:00,442.75,443.1,440.5,440.75,1140831
20,2021-09-20T14:15:00,440.95,441.85,440.2,440.85,554521
21,2021-09-20T14:30:00,441.4,442.25,438.7,439.05,958390
22,2021-09-20T14:45:00,439.4,440.0,438.5,438.75,611088
23,2021-09-20T15:00:00,439.2,439.3,435.7,437.2,1225456
24,2021-09-20T15:15:00,437.7,439.0,436.15,436.6,1857689
25,2021-09-20T15:30:00,436.9,436.9,436.9,436.9,181
26,2021-09-21T09:15:00,440.2,441.25,436.35,439.1,2017929
27,2021-09-21T09:30:00,439.25,440.4,438.25,439.95,917809
28,2021-09-21T09:45:00,440.1,440.5,438.4,438.4,626766
29,2021-09-21T10:00:00,438.25,438.95,435.5,435.5,1154154
30,2021-09-21T10:15:00,435.7,437.45,434.65,436.3,1260892
31,2021-09-21T10:30:00,436.55,437.5,436.0,436.25,396557
32,2021-09-21T10:45:00,436.85,437.35,434.6,434.6,404496
33,2021-09-21T11:00:00,434.9,435.9,433.65,433.65,502072
34,2021-09-21T11:15:00,433.85,434.15,432.65,433.25,572711
35,2021-09-21T11:30:00,433.4,434.55,432.65,433.5,625782
36,2021-09-21T11:45:00,433.85,435.25,433.65,434.8,775216
37,2021-09-21T12:00:00,435.3,435.9,433.8,433.8,474231
38,2021-09-21T12:15:00,433.9,434.9,432.9,432.9,474833
39,2021-09-21T12:30:00,433.0,434.5,432.7,434.0,344460
40,2021-09-21T12:45:00,434.5,436.7,434.25,436.0,636483
41,2021-09-21T13:00:00,436.15,437.5,435.25,436.95,536221
42,2021-09-21T13:15:00,437.3,438.3,436.35,437.3,588844
43,2021-09-21T13:30:00,437.75,437.75,435.95,436.5,488336
44,2021-09-21T13:45:00,437.0,438.3,435.45,435.6,596884
45,2021-09-21T14:00:00,436.1,437.3,435.85,436.2,392093
46,2021-09-21T14:15:00,436.2,437.1,435.8,436.5,351180
47,2021-09-21T14:30:00,436.7,438.3,435.85,437.75,506477
48,2021-09-21T14:45:00,437.85,438.75,437.4,437.5,593228
49,2021-09-21T15:00:00,437.85,438.4,437.4,437.8,616726
50,2021-09-21T15:15:00,437.75,440.75,437.65,439.5,1344746
51,2021-09-21T15:30:00,439.55,439.55,439.55,439.55,70
52,2021-09-22T09:15:00,439.35,441.9,439.0,439.3,1394032
53,2021-09-22T09:30:00,439.4,442.8,439.2,441.25,1013323
54,2021-09-22T09:45:00,441.45,442.3,441.0,441.4,399743
55,2021-09-22T10:00:00,441.4,442.5,441.1,441.45,439867
56,2021-09-22T10:15:00,441.55,441.55,439.25,439.8,778959
57,2021-09-22T10:30:00,439.85,439.95,438.0,439.2,843773
58,2021-09-22T10:45:00,439.35,439.7,438.15,438.85,441660
59,2021-09-22T11:00:00,438.85,439.2,437.4,437.5,540061
60,2021-09-22T11:15:00,437.5,437.75,436.2,436.65,575776
61,2021-09-22T11:30:00,436.7,437.3,436.25,436.95,245423
62,2021-09-22T11:45:00,437.1,438.75,436.6,438.3,404790
63,2021-09-22T12:00:00,438.65,439.35,438.1,438.35,473857
64,2021-09-22T12:15:00,438.7,439.35,438.5,438.6,222970
65,2021-09-22T12:30:00,438.6,438.95,437.8,438.2,223667
66,2021-09-22T12:45:00,438.2,441.0,437.8,439.6,570764
67,2021-09-22T13:00:00,440.9,441.65,440.2,440.75,472548
68,2021-09-22T13:15:00,440.8,440.9,438.6,438.6,426410
69,2021-09-22T13:30:00,439.0,440.15,438.3,439.8,389159
70,2021-09-22T13:45:00,440.0,440.0,438.7,439.4,288015
71,2021-09-22T14:00:00,439.5,440.05,438.85,439.5,355868
72,2021-09-22T14:15:00,439.75,439.95,438.75,439.5,364570
73,2021-09-22T14:30:00,439.65,440.5,438.35,438.35,588864
74,2021-09-22T14:45:00,438.65,438.8,437.15,437.85,707914
75,2021-09-22T15:00:00,438.7,438.9,437.65,437.8,685984
76,2021-09-22T15:15:00,438.0,440.2,437.9,439.5,1423873
77,2021-09-23T09:15:00,442.3,445.35,442.3,444.8,1777713
78,2021-09-23T09:30:00,444.95,447.4,444.3,446.6,1396147
79,2021-09-23T09:45:00,446.6,449.5,446.55,448.2,1683265
80,2021-09-23T10:00:00,448.8,449.8,448.7,448.8,962892
81,2021-09-23T10:15:00,448.95,450.45,448.6,449.35,1068318
82,2021-09-23T10:30:00,449.4,449.9,448.1,448.5,715325
83,2021-09-23T10:45:00,448.55,449.4,448.2,448.8,434665
84,2021-09-23T11:00:00,449.0,449.55,448.6,449.1,371848
85,2021-09-23T11:15:00,449.2,449.2,448.0,448.1,394602
86,2021-09-23T11:30:00,448.2,448.3,446.55,447.0,530656
87,2021-09-23T11:45:00,447.0,447.55,446.85,447.5,250031
88,2021-09-23T12:00:00,447.55,449.4,447.5,449.0,493496
89,2021-09-23T12:15:00,449.1,449.3,448.1,448.1,371078
90,2021-09-23T12:30:00,448.5,449.0,447.25,447.25,421932
91,2021-09-23T12:45:00,447.4,451.1,447.3,448.15,2286764
92,2021-09-23T13:00:00,448.35,448.65,447.0,447.0,545680
93,2021-09-23T13:15:00,447.1,447.6,445.9,447.1,677127
94,2021-09-23T13:30:00,447.3,447.8,446.55,447.65,348768
95,2021-09-23T13:45:00,447.8,448.0,447.0,447.0,365983
96,2021-09-23T14:00:00,447.25,448.6,447.1,448.4,476432
97,2021-09-23T14:15:00,448.45,449.5,448.15,449.3,628213
98,2021-09-23T14:30:00,449.4,449.9,448.8,449.3,718756
99,2021-09-23T14:45:00,449.4,450.9,449.3,449.35,1031225
100,2021-09-23T15:00:00,449.65,450.55,448.9,449.95,1211422
101,2021-09-23T15:15:00,450.0,450.75,449.05,449.7,1293349
102,2021-09-23T15:30:00,450.0,450.0,450.0,450.0,1643
103,2021-09-24T09:15:00,451.1,451.8,446.8,447.35,1183493
104,2021-09-24T09:30:00,447.6,448.65,446.25,447.2,494791
105,2021-09-24T09:45:00,447.3,447.75,444.25,444.25,704343
106,2021-09-24T10:00:00,444.45,445.6,443.85,444.35,614870
107,2021-09-24T10:15:00,444.3,445.65,443.25,445.35,482376
108,2021-09-24T10:30:00,445.5,446.0,444.6,445.7,274245
109,2021-09-24T10:45:00,445.75,446.4,444.5,444.5,335841
110,2021-09-24T11:00:00,444.7,445.25,442.75,443.6,536072
111,2021-09-24T11:15:00,443.75,445.15,443.55,444.75,286038
112,2021-09-24T11:30:00,444.85,445.1,443.6,443.6,300939
113,2021-09-24T11:45:00,443.85,444.15,443.1,443.1,245078
114,2021-09-24T12:00:00,443.6,444.4,442.75,443.15,300315
115,2021-09-24T12:15:00,443.3,444.0,443.1,443.2,171507
116,2021-09-24T12:30:00,443.5,443.85,442.8,443.05,285472
117,2021-09-24T12:45:00,443.2,443.8,442.95,443.4,159218
118,2021-09-24T13:00:00,443.55,443.55,442.4,442.75,263665
119,2021-09-24T13:15:00,443.0,443.15,442.0,442.0,369872
120,2021-09-24T13:30:00,442.3,442.6,441.45,441.8,300060
121,2021-09-24T13:45:00,441.9,443.3,441.5,441.75,369106
122,2021-09-24T14:00:00,441.9,442.2,441.0,441.25,311492
123,2021-09-24T14:15:00,441.55,442.6,441.0,441.5,330982
124,2021-09-24T14:30:00,441.65,442.15,441.35,441.75,238804
125,2021-09-24T14:45:00,441.9,442.0,440.4,440.4,563923
126,2021-09-24T15:00:00,440.6,441.4,440.55,441.0,564017
127,2021-09-24T15:15:00,441.0,441.3,440.0,440.2,1000460
128,2021-09-24T15:30:00,440.75,440.75,440.65,440.65,464
129,2021-09-27T09:15:00,444.1,447.85,443.3,447.1,1446676
130,2021-09-27T09:30:00,447.15,448.2,445.9,446.4,776238
131,2021-09-27T09:45:00,446.5,448.0,446.2,446.6,541584
132,2021-09-27T10:00:00,446.9,447.0,445.95,445.95,401676
133,2021-09-27T10:15:00,446.0,446.95,444.95,446.55,410199
134,2021-09-27T10:30:00,446.85,447.3,445.5,445.6,327192
135,2021-09-27T10:45:00,445.75,446.5,445.5,446.2,201853
136,2021-09-27T11:00:00,446.3,446.5,445.3,445.55,297506
137,2021-09-27T11:15:00,446.0,446.0,445.1,445.4,223229
138,2021-09-27T11:30:00,445.45,445.9,444.75,444.9,322763
139,2021-09-27T11:45:00,445.05,447.1,444.95,446.6,357786
140,2021-09-27T12:00:00,447.0,447.45,446.85,447.0,299904
141,2021-09-27T12:15:00,447.25,447.45,445.85,446.1,276297
142,2021-09-27T12:30:00,446.15,447.2,446.1,446.8,282569
143,2021-09-27T12:45:00,447.15,448.5,447.0,447.65,590401
144,2021-09-27T13:00:00,447.65,448.5,447.65,447.9,245313
145,2021-09-27T13:15:00,447.95,448.5,447.55,448.35,226066
146,2021-09-27T13:30:00,448.4,450.55,448.4,450.25,960282
147,2021-09-27T13:45:00,450.5,450.5,447.8,447.9,537855
148,2021-09-27T14:00:00,448.55,449.0,447.8,447.95,348785
149,2021-09-27T14:15:00,448.0,448.35,446.5,446.5,437174
150,2021-09-27T14:30:00,446.55,447.9,446.5,446.75,372507
151,2021-09-27T14:45:00,446.8,447.1,446.25,446.6,414272
152,2021-09-27T15:00:00,446.85,447.5,446.6,446.6,548573
153,2021-09-27T15:15:00,446.8,446.85,445.6,445.8,839555
154,2021-09-27T15:30:00,446.0,446.0,446.0,446.0,125
155,2021-09-28T09:15:00,449.45,455.65,449.45,452.15,3187846
156,2021-09-28T09:30:00,452.3,453.65,451.65,452.25,1213099
157,2021-09-28T09:45:00,452.3,453.0,451.75,452.3,540811
158,2021-09-28T10:00:00,452.9,453.5,452.45,452.6,387720
159,2021-09-28T10:15:00,452.8,454.4,452.55,452.8,492781
160,2021-09-28T10:30:00,453.1,453.95,452.75,453.0,352726
161,2021-09-28T10:45:00,453.1,453.2,451.5,451.55,679279
162,2021-09-28T11:00:00,451.5,452.25,450.15,450.7,687897
163,2021-09-28T11:15:00,450.8,452.15,450.7,451.5,521490
164,2021-09-28T11:30:00,451.85,452.3,450.55,450.55,362643
165,2021-09-28T11:45:00,450.5,450.8,448.6,448.6,693981
166,2021-09-28T12:00:00,448.75,449.8,448.0,448.8,515753
167,2021-09-28T12:15:00,449.0,449.2,446.2,446.2,870637
168,2021-09-28T12:30:00,446.2,447.55,445.5,446.55,642183
169,2021-09-28T12:45:00,446.75,447.8,445.6,445.95,445938
170,2021-09-28T13:00:00,446.05,446.4,444.1,444.1,567099
171,2021-09-28T13:15:00,444.3,446.25,444.05,445.45,481777
172,2021-09-28T13:30:00,445.85,446.35,444.55,444.65,343561
173,2021-09-28T13:45:00,444.75,444.9,443.55,444.05,504693
174,2021-09-28T14:00:00,444.25,445.3,443.05,443.05,493353
175,2021-09-28T14:15:00,443.15,443.3,440.2,440.9,908421
176,2021-09-28T14:30:00,441.15,442.4,440.0,442.0,1190384
177,2021-09-28T14:45:00,442.2,443.9,442.1,443.05,580212
178,2021-09-28T15:00:00,443.35,446.75,443.0,445.4,1166934
179,2021-09-28T15:15:00,445.6,445.8,444.0,444.5,1293559
180,2021-09-29T09:15:00,441.45,442.5,439.2,441.5,1366370
181,2021-09-29T09:30:00,442.25,444.5,441.3,442.2,745445
182,2021-09-29T09:45:00,442.65,445.5,442.2,445.0,794179
183,2021-09-29T10:00:00,445.25,446.7,444.5,445.75,610141
184,2021-09-29T10:15:00,446.65,448.25,446.15,446.15,908255
185,2021-09-29T10:30:00,445.8,447.5,445.25,446.1,711281
186,2021-09-29T10:45:00,446.15,448.7,445.8,448.05,557186
187,2021-09-29T11:00:00,448.6,451.8,448.5,451.35,1370657
188,2021-09-29T11:15:00,451.8,453.25,450.55,451.85,1271152
