buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-06-07T09:21:00,2021-06-07T09:28:00,810.2,808.0745000000001,61,49422.200000000004,49292.5445,10000,9803.841244291405,-196.15875570859578,66.503255708595,False
2021-06-07T13:22:00,2021-06-07T11:49:00,804.7065,806.0,60,48282.39,48360.0,9803.841244291405,9815.327660894505,11.48641660310058,66.1235833969,True
2021-06-08T10:56:00,2021-06-08T12:49:00,807.8,807.875,60,48468.0,48472.5,9815.327660894505,9753.654873139505,-61.672787755,66.172787755,False
2021-06-08T14:04:00,2021-06-08T13:38:00,807.864375,805.75,60,48471.8625,48345.0,9753.654873139505,9560.660202792127,-192.9946703473779,66.132170347375,False
2021-06-08T14:31:00,2021-06-08T15:09:00,807.7,805.5807500000001,59,47654.3,47529.26425000001,9560.660202792127,9369.811706901513,-190.84849589061298,65.8127458906175,False
2021-06-09T10:40:00,2021-06-09T10:21:00,808.265375,806.15,58,46879.391749999995,46756.7,9369.811706901513,9181.609773853872,-188.20193304764064,65.5101830476425,False
2021-06-09T10:43:00,2021-06-09T11:17:00,808.85,814.608125,56,45295.6,45618.055,9181.609773853872,9439.031755558824,257.42198170495175,65.03301829505,True
2021-06-09T13:18:00,2021-06-09T13:16:00,807.663875,805.55,58,46844.50475,46721.899999999994,9439.031755558824,9250.930450078946,-188.1013054798784,65.49655547987251,False
2021-06-10T10:11:00,2021-06-10T11:07:00,808.1,805.9797500000001,57,46061.700000000004,45940.84575000001,9250.930450078946,9064.885488631466,-186.04496144747918,65.1907114474825,False
2021-06-10T11:26:00,2021-06-10T11:21:00,808.9169999999999,806.8,56,45299.352,45180.799999999996,9064.885488631466,8881.440437083542,-183.44505154792333,64.89305154792001,False
2021-06-10T13:05:00,2021-06-10T12:29:00,806.3105,806.7,55,44347.0775,44368.5,8881.440437083542,8838.297733598518,-43.14270348502441,64.565203485025,False
2021-06-11T09:15:00,2021-06-11T09:26:00,806.75,812.8625000000001,54,43564.5,43894.575000000004,8838.297733598518,9104.014858655271,265.71712505675436,64.35787494325001,True
2021-06-11T12:28:00,2021-06-11T11:48:00,809.1175,809.95,56,45310.579999999994,45357.200000000004,9104.014858655271,9085.684439931481,-18.330418723790103,64.9504187238,False
2021-06-11T14:17:00,2021-06-11T14:36:00,811.25,809.121875,55,44618.75,44501.703125,9085.684439931481,8904.010431909763,-181.67400802171875,64.62713302171875,False
