buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-06-09T13:09:00,2021-06-09T13:15:00,2023.45,2013.2327500000001,98,198298.1,197296.8095,10000,8874.212781574251,-1125.7872184257478,124.496718425745,False
2021-06-09T13:16:00,2021-06-09T14:41:00,2013.8,2003.631,88,177214.4,176319.52800000002,8874.212781574251,7863.062515525397,-1011.150266048854,116.27826604888,False
2021-06-09T14:42:00,2021-06-09T15:09:00,2000.6,1990.497,78,156046.8,155258.766,7863.062515525397,6967.001407453552,-896.0611080718451,108.02710807186001,False
2021-06-14T09:33:00,2021-06-14T15:09:00,1999.2,2020.6952500000002,69,137944.80000000002,139427.97225000002,6967.001407453552,8348.503635665258,1381.5022282117056,101.6700217882975,True
2021-07-05T14:00:00,2021-07-05T15:09:00,1980.5,1970.4975000000002,84,166362.0,165521.79,8348.503635665258,7396.245685374366,-952.2579502908918,112.0479502909,False
2021-07-15T11:36:00,2021-07-15T14:08:00,2070.6,2103.33,71,147012.6,149336.43,7396.245685374366,9614.586737963053,2218.341052588687,105.48894741129999,True
2021-07-26T09:17:00,2021-07-26T09:48:00,2312.35,2339.6425,83,191925.05,194190.32749999998,9614.586737963053,11756.814437745024,2142.2276997819718,123.04980021802498,True
2021-08-10T13:05:00,2021-08-10T13:46:00,2303.3,2291.6835,102,234936.6,233751.717,11756.814437745024,10433.152557599953,-1323.6618801450716,138.77888014507,False
2021-08-10T14:01:00,2021-08-10T15:09:00,2277.6,2266.112,91,207261.6,206216.192,10433.152557599953,9259.753494927638,-1173.3990626723157,127.99106267232,False
2021-08-12T12:15:00,2021-08-12T15:09:00,2290.2,2278.649,80,183216.0,182291.91999999998,9259.753494927638,8217.055449904421,-1042.6980450232163,118.6180450232,False
2021-09-08T12:12:00,2021-09-08T12:40:00,2455.6,2443.222,66,162069.6,161252.652,8217.055449904421,7289.732170465497,-927.3232794389239,110.37527943891999,False
2021-09-15T12:46:00,2021-09-15T15:09:00,2450.05,2437.69975,59,144552.95,143824.28525000002,7289.732170465497,6457.520194848473,-832.2119756170238,103.5472256170275,False
2021-09-21T09:21:00,2021-09-21T10:00:00,2297.55,2312.3297500000003,56,128662.80000000002,129490.46600000001,6457.520194848473,7187.35956090961,729.8393660611374,97.82663393886001,True
2021-09-28T11:05:00,2021-09-28T11:59:00,2323.3,2311.5835,61,141721.30000000002,141006.59350000002,7187.35956090961,6370.209723185225,-817.1498377243852,102.443337724385,False
2021-09-29T09:18:00,2021-09-29T09:31:00,2269.35,2257.90325,56,127083.59999999999,126442.582,6370.209723185225,5632.454241356008,-737.7554818292164,96.73748182922002,False
2021-09-29T09:32:00,2021-09-29T15:09:00,2252.55,2266.709,50,112627.50000000001,113335.45,5632.454241356008,6248.892538661491,616.4382973054826,91.5117026945,True
2021-09-30T12:40:00,2021-09-30T15:09:00,2256.95,2245.56525,55,124132.24999999999,123506.08875000001,6248.892538661491,5527.144259541003,-721.7482791204881,95.5870291205125,False
2021-10-01T09:16:00,2021-10-01T09:17:00,2229.55,2218.30225,49,109247.95000000001,108696.81025000001,5527.144259541003,4886.219432981223,-640.9248265597796,89.7850765597775,False
2021-10-01T09:19:00,2021-10-01T09:51:00,2219.3,2242.63,44,97649.20000000001,98675.72,4886.219432981223,5826.988367888012,940.7689349067895,85.75106509320001,True
2021-10-19T10:05:00,2021-10-19T10:20:00,2256.85,2271.7835000000005,51,115099.34999999999,115860.95850000002,5826.988367888012,6496.100424849008,669.1120569609961,92.49644303903501,True
2021-10-19T14:49:00,2021-10-19T15:07:00,2258.0,2246.61,57,128706.0,128056.77,6496.100424849008,5749.500536882312,-746.5998879666959,97.36988796669999,False
2021-10-21T11:01:00,2021-10-21T11:07:00,2232.1,2220.8395,51,113837.09999999999,113262.81450000001,5749.500536882312,5083.641098303034,-665.8594385792786,91.57393857929499,False
2021-10-21T11:08:00,2021-10-21T11:15:00,2218.0,2206.81,45,99810.0,99306.45,5083.641098303034,4493.984961623531,-589.6561366795029,86.10613667950001,False
2021-10-22T13:19:00,2021-10-22T14:26:00,2169.1,2179.945,41,88933.09999999999,89377.74500000001,4493.984961623531,4856.477165523599,362.4922039000686,82.15279609995,True
2021-11-02T11:33:00,2021-11-02T15:09:00,2386.0,2373.9700000000003,40,95440.0,94958.80000000002,4856.477165523599,4290.874366375617,-565.6027991479825,84.402799148,False
2021-11-17T09:15:00,2021-11-17T15:09:00,2472.8,2460.3360000000002,34,84075.20000000001,83651.42400000001,4290.874366375617,3787.1255607925787,-503.748805583038,79.97280558304001,False
2021-11-22T09:22:00,2021-11-22T09:46:00,2403.25,2391.13375,31,74500.75,74125.14625,3787.1255607925787,3335.2811871062463,-451.84437368633223,76.2406236863375,False
2021-11-29T09:15:00,2021-11-29T09:16:00,2272.65,2261.1867500000003,29,65906.85,65574.41575000001,3335.2811871062463,2929.9562928675728,-405.32489423867366,72.89064423868251,False
2021-11-29T09:17:00,2021-11-29T09:19:00,2252.7,2241.3365,26,58570.2,58274.748999999996,2929.9562928675728,2564.474499273782,-365.48179359379094,70.03079359379,False
