buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-11-18T14:27:00,2021-11-18T14:28:00,1583.05,1575.03475,126,199464.3,198454.3785,10000,8865.128075618268,-1134.8719243817318,124.95042438173499,False
2021-11-18T14:29:00,2021-11-18T14:31:00,1568.1,1577.771,113,177195.3,178288.123,8865.128075618268,9841.042812027941,975.914736409674,116.90826359032998,True
2021-11-22T09:15:00,2021-11-22T09:15:00,1487.3,1500.2605,132,196323.6,198034.386,9841.042812027941,11427.235162337874,1586.1923503099329,124.59364969006002,True
2021-11-22T09:16:00,2021-11-22T09:16:00,1478.15,1500.90725,154,227635.1,231139.7165,11427.235162337874,14794.426765938162,3367.1916036002885,137.424896399715,True
2021-11-22T09:20:00,2021-11-22T09:20:00,1436.15,1467.525,206,295846.9,302310.15,14794.426765938162,21092.603543432662,6298.1767774945,165.0732225055,True
2021-11-22T11:55:00,2021-11-22T11:55:00,1292.15,1301.0615,326,421240.9,424146.049,21092.603543432662,23784.73872001885,2692.135176586186,213.01382341378996,True
2021-11-25T10:02:00,2021-11-25T10:04:00,1727.0,1718.265,275,474925.0,472522.875,23784.73872001885,21150.2889620276,-2634.44975799125,232.32475799125,False
2021-11-26T09:15:00,2021-11-26T09:15:00,1721.35,1748.712,245,421730.75,428434.44,21150.2889620276,27639.555171442702,6489.266209415102,214.42379058490002,True
2021-11-26T09:22:00,2021-11-26T09:22:00,1697.0,1708.315,325,551525.0,555202.375,27639.555171442702,31052.672885006454,3413.11771356375,264.25728643625,True
2021-11-29T09:15:00,2021-11-29T09:15:00,1728.0,1746.8712500000001,359,620352.0,627126.77875,31052.672885006454,37535.2607158736,6482.587830867144,292.19091913291254,True
2021-11-30T11:08:00,2021-11-30T11:11:00,1701.4,1709.907,441,750317.4,754068.987,37535.2607158736,40944.75530769877,3409.4945918251715,342.09240817476996,True
2021-12-01T11:59:00,2021-12-01T13:04:00,1674.5,1666.0275000000001,489,818830.5,814687.4475000001,40944.75530769877,36435.32489175617,-4509.430415942599,366.37791594272505,False
2021-12-10T14:13:00,2021-12-10T15:09:00,1565.45,1557.52275,465,727934.25,724248.07875,36435.32489175617,32418.207809602747,-4017.1170821534265,330.9458321534125,False
2021-12-14T09:15:00,2021-12-14T09:17:00,1535.65,1544.6375,422,648044.3,651837.025,32418.207809602747,35908.858944861975,3490.651135259227,302.07386474074997,True
2021-12-15T09:15:00,2021-12-15T09:15:00,1363.1,1414.04375,526,716990.6,743787.0125000001,35908.858944861975,62368.83310675719,26459.974161895218,336.438338104875,True
2021-12-15T09:16:00,2021-12-15T09:16:00,1360.75,1353.84625,916,1246447.0,1240123.165,62368.83310675719,55511.94193914008,-6856.891167617113,533.05616761715,False
2021-12-15T09:17:00,2021-12-15T09:17:00,1332.15,1353.14975,833,1109680.9500000002,1127173.74175,55511.94193914008,72517.5722584488,17005.630319308715,487.1614306911425,True
2021-12-15T09:19:00,2021-12-15T09:19:00,1332.0,1341.01075,1088,1449216.0,1459019.696,72517.5722584488,81703.67198838464,9186.099729935837,617.59627006416,True
2021-12-15T09:20:00,2021-12-15T09:20:00,1305.9,1324.99125,1251,1633680.9000000001,1657564.05375,81703.67198838464,104892.51079426729,23188.83880588266,694.3149441171626,True
2021-12-15T09:22:00,2021-12-15T09:23:00,1316.45,1309.7677500000002,1593,2097104.85,2086460.0257500003,104892.51079426729,93383.05166546568,-11509.459128801613,864.6348788017825,False
2021-12-16T12:08:00,2021-12-16T12:30:00,1392.0,1402.30275,1341,1866672.0,1880487.98775,93383.05166546568,106416.75573579446,13033.704070328786,782.2836796713026,True
2021-12-17T09:23:00,2021-12-17T09:25:00,1368.0,1361.0600000000002,1555,2127240.0,2116448.3000000003,106416.75573579446,94748.67246110174,-11668.08327469272,876.3832746930002,False
2021-12-17T14:41:00,2021-12-17T14:51:00,1351.95,1345.0902500000002,1401,1894081.95,1884471.4402500002,94748.67246110174,84352.66334081494,-10396.009120286813,785.4993702870776,False
2021-12-17T15:00:00,2021-12-17T15:02:00,1335.8,1329.021,1262,1685779.5999999999,1677224.5019999999,84352.66334081494,75093.26119526252,-9259.402145552418,704.3041455524199,False
2021-12-17T15:03:00,2021-12-17T15:06:00,1325.55,1318.82225,1133,1501848.15,1494225.60925,75093.26119526252,66838.11166743352,-8255.149527828995,632.6087778290675,False
2021-12-17T15:07:00,2021-12-17T15:08:00,1317.5,1310.8125,1014,1335945.0,1329163.875,66838.11166743352,59489.04585013227,-7349.06581730125,567.94081730125,False
2022-01-06T09:16:00,2022-01-06T09:17:00,1271.85,1265.39075,935,1189179.75,1183140.35125,59489.04585013227,52938.91525796045,-6550.130592171822,510.7318421718875,False
2022-01-06T14:38:00,2022-01-06T15:09:00,1256.3,1249.9185,842,1057804.5999999999,1052431.377,52938.91525796045,47106.16962777701,-5832.745630183435,459.52263018367006,False
2022-01-10T09:15:00,2022-01-10T09:15:00,1213.9,1222.7052500000002,776,941986.4,948819.2740000002,47106.16962777701,53520.93994006865,6414.7703122916455,418.10368770854006,True
2022-01-10T12:31:00,2022-01-10T12:59:00,1188.0,1181.96,901,1070388.0,1064945.96,53520.93994006865,47614.47398575702,-5906.465954311637,464.4259543115999,False
2022-01-10T13:52:00,2022-01-10T14:42:00,1166.8,1160.866,816,952108.7999999999,947266.656,47614.47398575702,42354.008483263286,-5260.465502493731,418.32150249375997,False
2022-01-10T14:45:00,2022-01-10T15:09:00,1155.6,1149.722,733,847054.7999999999,842746.226,42354.008483263286,37668.06209621492,-4685.946387048366,377.37238704846,False
2022-01-12T09:16:00,2022-01-12T09:16:00,1098.45,1112.45925,685,752438.25,762034.58625,37668.06209621492,46919.601325401236,9251.539229186314,344.7970208137375,True
2022-01-12T09:17:00,2022-01-12T09:18:00,1090.25,1095.594,860,937615.0,942210.8400000001,46919.601325401236,51099.76613025492,4180.164804853684,415.6751951464001,True
2022-01-14T09:15:00,2022-01-14T09:15:00,1012.55,1007.3872499999999,1009,1021662.95,1016453.7352499999,51099.76613025492,45445.12271562835,-5654.64341462657,445.42866462652745,False
2022-01-14T09:16:00,2022-01-14T09:29:00,1006.45,1018.8297499999999,903,908824.3500000001,920003.2642499999,45445.12271562835,56217.51974896203,10772.39703333368,406.5172166661175,True
2022-01-18T13:25:00,2022-01-18T14:48:00,1060.4,1054.9980000000003,1060,1124024.0,1118297.8800000004,56217.51974896203,50006.070698827585,-6211.449050134446,485.3290501348001,False
2022-01-18T15:03:00,2022-01-18T15:09:00,1044.15,1038.8292500000002,957,999251.55,994159.5922500002,50006.070698827585,44477.41894889676,-5528.651749930825,436.6939999309976,False
2022-01-19T12:34:00,2022-01-19T12:35:00,997.65,992.56175,891,888906.15,884372.51925,44477.41894889676,39550.10653438158,-4927.312414515179,393.68166451516754,False
2022-01-21T09:15:00,2022-01-21T09:15:00,987.0,981.9649999999999,801,790587.0,786553.965,39550.10653438158,35161.7134054964,-4388.393128885183,355.35812888514994,False
2022-01-21T09:16:00,2022-01-21T09:34:00,985.8,991.8652500000001,713,702875.4,707199.92325,35161.7134054964,39162.53024857686,4000.8168430804617,323.7064069195075,True
2022-01-21T13:29:00,2022-01-21T14:11:00,977.15,972.1642499999999,801,782697.15,778703.5642499999,39162.53024857686,34816.66196300966,-4345.868285567203,352.2825355671175,False
2022-01-21T14:15:00,2022-01-21T14:24:00,966.95,962.01525,720,696204.0,692650.98,34816.66196300966,30945.073282373844,-3871.5886806358185,318.56868063580004,False
2022-01-24T12:49:00,2022-01-24T12:51:00,888.4,883.858,696,618326.4,615165.168,30945.073282373844,27495.629801600488,-3449.4434807733564,288.21148077327996,False
2022-01-25T09:16:00,2022-01-25T09:16:00,883.85,879.33075,622,549754.7000000001,546943.7265,27495.629801600488,24423.172824237594,-3072.456977362895,261.483477362815,False
2022-01-25T09:17:00,2022-01-25T09:17:00,883.3,878.7834999999999,552,487581.6,485088.4919999999,24423.172824237594,21692.815199032208,-2730.3576252053854,237.24962520531994,False
2022-01-25T09:19:00,2022-01-25T09:21:00,881.0,886.39525,492,433452.0,436106.463,21692.815199032208,24129.565104363468,2436.749905331259,217.71309466873,True
2022-02-07T09:15:00,2022-02-07T09:15:00,933.15,928.38425,517,482438.55,479974.65725,24129.565104363468,21430.42645216632,-2699.1386521971467,235.24590219714753,False
2022-02-11T09:16:00,2022-02-11T09:57:00,926.95,922.21525,462,428250.9,426063.4455,21430.42645216632,19028.847523420965,-2401.578928745356,214.12442874530498,False
2022-02-11T14:32:00,2022-02-11T14:47:00,911.7,907.0415,417,380178.9,378236.3055,19028.847523420965,16890.866407865054,-2137.9811155559114,195.38661555590505,False
2022-02-14T09:15:00,2022-02-14T09:15:00,887.0,882.4649999999999,380,337060.0,335336.69999999995,16890.866407865054,14988.987062208009,-1901.8793456570465,178.57934565699998,False
2022-02-14T09:16:00,2022-02-14T09:18:00,884.95,880.42525,338,299113.10000000003,297583.7345,14988.987062208009,13295.8331954155,-1693.1538667925095,163.78836679249503,False
2022-02-14T09:19:00,2022-02-14T11:03:00,876.8,881.271,303,265670.39999999997,267025.113,13295.8331954155,14498.923017441317,1203.089822025817,151.62317797423,True
