buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-12-06T11:30:00,2021-12-06T14:10:00,3578.0,3560.01,55,196790.0,195800.55000000002,10000,8886.639784709518,-1113.3602152904825,123.9102152905,False
2021-12-06T15:00:00,2021-12-07T09:20:00,3522.65,3544.5875,50,176132.5,177229.375,8886.639784709518,9867.021222778269,980.38143806875,116.49356193124999,True
2021-12-09T12:05:00,2021-12-08T09:20:00,3593.5277499999997,3633.5,54,194050.4985,196209.0,9867.021222778269,11901.675223639346,2034.654000861078,123.84749913893499,True
2021-12-13T12:45:00,2021-12-14T09:15:00,3605.95,3587.8202499999998,66,237992.69999999998,236796.1365,11901.675223639346,10565.140370885441,-1336.5348527539043,139.971352753915,False
2021-12-15T09:45:00,2021-12-16T09:25:00,3571.4,3589.86,59,210712.6,211801.74000000002,10565.140370885441,11524.253946904055,959.1135760186139,130.0264239814,True
2021-12-17T09:15:00,2021-12-17T09:15:00,3643.2249999999995,3625.0,63,229523.17499999996,228375.0,11524.253946904055,10239.407216949845,-1284.8467299542092,136.67172995424997,False
2021-12-17T12:50:00,2021-12-17T09:20:00,3608.0499999999997,3627.35,56,202050.8,203131.6,10239.407216949845,11193.573869445863,954.1666524960175,126.63334750400001,True
2021-12-20T12:50:00,2021-12-20T13:20:00,3510.35,3534.737,63,221152.05,222688.431,11193.573869445863,12595.698801284376,1402.124931838513,134.25606816151,True
2021-12-24T09:15:00,2021-12-23T09:55:00,3684.4299999999994,3666.0,68,250541.23999999996,249288.0,12595.698801284376,11197.593875724015,-1398.1049255603616,144.8649255604,False
2021-12-24T12:00:00,2021-12-24T09:20:00,3667.7469999999994,3693.0,60,220064.81999999995,221580.0,11197.593875724015,12578.950170501867,1381.3562947778512,133.8237052222,True
2022-01-04T09:15:00,2022-01-03T10:25:00,3832.2152499999997,3813.05,65,249093.99125,247848.25,12578.950170501867,11188.908072123088,-1390.0420983787794,144.30084837878752,False
2022-01-10T09:15:00,2022-01-10T09:15:00,3928.3937499999993,3908.75,57,223918.44374999995,222798.75,11188.908072123088,9934.727261853077,-1254.1808102700102,134.4870602700625,False
2022-01-13T09:15:00,2022-01-11T14:25:00,3872.8674999999994,3920.0,50,193643.37499999997,196000.0,9934.727261853077,12167.600578806856,2232.873316953779,123.75168304625001,True
2022-01-17T09:15:00,2022-01-14T14:50:00,3984.2717499999994,3964.35,61,243040.57674999998,241825.35,12167.600578806856,10810.43262162639,-1357.167957180465,141.9412071804925,False
2022-01-19T09:15:00,2022-01-17T10:45:00,3976.8849999999993,4024.0,53,210774.90499999997,213272.0,10810.43262162639,13177.02526497387,2366.59264334748,130.50235665255,True
2022-01-19T09:30:00,2022-01-19T14:20:00,3940.6,3920.797,66,260079.6,258772.602,13177.02526497387,11721.446075270458,-1455.5791897034123,148.58118970342002,False
