Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName
N,C,79,ALEMBICLTD,EQ,1980-01-01 00:00:00,XX,0,B,INE426A01027,ALEMBIC LIMITED
N,C,100,AMARAJABAT,EQ,1980-01-01 00:00:00,XX,0,A,INE885A01032,AMARA RAJA BATTERIES LTD.
N,C,104,SHAREINDIA,EQ,1980-01-01 00:00:00,XX,0,C,INE932X01018,SHARE IND. SECURITIES LTD
N,C,128,ROUTE,EQ,1980-01-01 00:00:00,XX,0,B,INE450U01017,ROUTE MOBILE LIMITED
N,C,136,ANDHRSUGAR,EQ,1980-01-01 00:00:00,XX,0,C,INE715B01013,ANDHRA SUGARS LTD
N,C,140,SRPL,EQ,1980-01-01 00:00:00,XX,0,Z,INE008Z01012,SHREE RAM PROTEINS LTD.
N,C,144,GODREJAGRO,EQ,1980-01-01 00:00:00,XX,0,A,INE850D01014,GODREJ AGROVET LIMITED
N,C,154,APCOTEXIND,EQ,1980-01-01 00:00:00,XX,0,C,INE116A01032,APCOTEX INDUSTRIES LIMITE
N,C,157,APOLLOHOSP,EQ,1980-01-01 00:00:00,XX,0,A,INE437A01024,APOLLO HOSPITALS ENTER. L
N,C,163,APOLLOTYRE,EQ,1980-01-01 00:00:00,XX,0,B,INE438A01022,APOLLO TYRES LTD
N,C,166,ANDHRAPAP,EQ,1980-01-01 00:00:00,XX,0,D,INE435A01028,ANDHRA PAPER LIMITED
N,C,181,ARENTERP,EQ,1980-01-01 00:00:00,XX,0,Z,INE610C01014,RAJDARSHAN INDUSTRIES LTD
N,C,184,TCPLPACK,EQ,1980-01-01 00:00:00,XX,0,Z,INE822C01015,TCPL PACKAGING LIMITED
N,C,193,ARVIND,EQ,1980-01-01 00:00:00,XX,0,C,INE034A01011,ARVIND LIMITED
N,C,199,MASFIN,EQ,1980-01-01 00:00:00,XX,0,C,INE348L01012,MAS FINANCIAL SERV LTD
N,C,201,UNIDT,EQ,1980-01-01 00:00:00,XX,0,D,INE961D01019,UNITED DRILLING TOOLS LTD
N,C,203,ASHAPURMIN,EQ,1980-01-01 00:00:00,XX,0,Z,INE348A01023,ASHAPURA MINECHEM LTD
N,C,206,ASHIMASYN,EQ,1980-01-01 00:00:00,XX,0,Z,INE440A01010,ASHIMA LTD
N,C,212,ASHOKLEY,EQ,1980-01-01 00:00:00,XX,0,B,INE208A01029,ASHOK LEYLAND LTD
N,C,220,IEX,EQ,1980-01-01 00:00:00,XX,0,B,INE022Q01020,INDIAN ENERGY EXC LTD
N,C,235,AAKASH,EQ,1980-01-01 00:00:00,XX,0,Z,INE087Z01016,AAKASH EXPLORATION SER L
N,C,236,ASIANPAINT,EQ,1980-01-01 00:00:00,XX,0,E,INE021A01026,ASIAN PAINTS LIMITED
N,C,255,NIRAJ,EQ,1980-01-01 00:00:00,XX,0,Z,INE368I01016,NIRAJ CEMENT STRUC LTD
N,C,263,ATUL,EQ,1980-01-01 00:00:00,XX,0,A,INE100A01010,ATUL LTD
N,C,270,CHEMCON,EQ,1980-01-01 00:00:00,XX,0,C,INE03YM01018,CHEMCON SPECIAL CHEM LTD
N,C,275,AUROPHARMA,EQ,1980-01-01 00:00:00,XX,0,A,INE406A01037,AUROBINDO PHARMA LTD
N,C,277,GICRE,EQ,1980-01-01 00:00:00,XX,0,B,INE481Y01014,GENERAL INS CORP OF INDIA
N,C,278,AUTOAXLES,EQ,1980-01-01 00:00:00,XX,0,C,INE449A01011,AUTOMOTIVE AXLES LIMITED
N,C,305,BAJAJHLDNG,EQ,1980-01-01 00:00:00,XX,0,A,INE118A01012,BAJAJ HOLDINGS & INVS LTD
N,C,312,TIINDIA,EQ,1980-01-01 00:00:00,XX,0,B,INE974X01010,TUBE INVEST OF INDIA LTD
N,C,317,BAJFINANCE,EQ,1980-01-01 00:00:00,XX,0,E,INE296A01024,BAJAJ FINANCE LIMITED
N,C,324,ANGELONE,EQ,1980-01-01 00:00:00,XX,0,B,INE732I01013,ANGEL ONE LIMITED
N,C,330,VALIANTORG,EQ,1980-01-01 00:00:00,XX,0,B,INE565V01010,VALIANT ORGANICS LIMITED
N,C,335,BALKRISIND,EQ,1980-01-01 00:00:00,XX,0,B,INE787D01026,BALKRISHNA IND. LTD
N,C,338,BALMLAWRIE,EQ,1980-01-01 00:00:00,XX,0,B,INE164A01016,BALMER LAWRIE & CO LTD
N,C,341,BALRAMCHIN,EQ,1980-01-01 00:00:00,XX,0,B,INE119A01028,BALRAMPUR CHINI MILLS LTD
N,C,342,CAMS,EQ,1980-01-01 00:00:00,XX,0,A,INE596I01012,COMPUTER AGE MNGT SER LTD
N,C,347,BANARBEADS,EQ,1980-01-01 00:00:00,XX,0,Z,INE655B01011,BANARAS BEADS LTD
N,C,350,BANARISUG,EQ,1980-01-01 00:00:00,XX,0,D,INE459A01010,BANNARI AMMAN SUGARS LTD
N,C,357,NAM-INDIA,EQ,1980-01-01 00:00:00,XX,0,B,INE298J01013,NIPPON L I A M LTD
N,C,368,BASF,EQ,1980-01-01 00:00:00,XX,0,B,INE373A01013,BASF INDIA LTD
N,C,371,BATAINDIA,EQ,1980-01-01 00:00:00,XX,0,A,INE176A01028,BATA INDIA LTD
N,C,380,BBTC,EQ,1980-01-01 00:00:00,XX,0,B,INE050A01025,BOMBAY BURMAH TRADING COR
N,C,381,SINTERCOM,EQ,1980-01-01 00:00:00,XX,0,Z,INE129Z01016,SINTERCOM INDIA LIMITED
N,C,383,BEL,EQ,1980-01-01 00:00:00,XX,0,B,INE263A01024,BHARAT ELECTRONICS LTD
N,C,385,MAHLOG,EQ,1980-01-01 00:00:00,XX,0,B,INE766P01016,MAHINDRA LOGISTIC LIMITED
N,C,393,GLOBE,EQ,1980-01-01 00:00:00,XX,0,Z,INE581X01021,GLOBE TEXTILES (I) LTD.
N,C,395,BEML,EQ,1980-01-01 00:00:00,XX,0,B,INE258A01016,BEML LIMITED
N,C,399,NIACL,EQ,1980-01-01 00:00:00,XX,0,B,INE470Y01017,THE NEW INDIA ASSU CO LTD
N,C,404,BERGEPAINT,EQ,1980-01-01 00:00:00,XX,0,A,INE463A01038,BERGER PAINTS (I) LTD
N,C,419,BEPL,EQ,1980-01-01 00:00:00,XX,0,C,INE922A01025,BHANSALI ENG. POLYMERS LT
